ProducerProductId,ProducerId,ProductCatalogId,Price,Currency,VatRate,Packaging,Grade,OrganicCert,HarvestDate,ExpiryDate,MinOrder,MaxPerOrder,Stock,Status,CreatedAt,UpdatedAt,IsActive
PP-U69CN08CKX,PR-140,CAT-0015,1031.12,CRC,0.13,docena,segunda,,2025-11-10,2025-12-06,,,,available,2025-11-10,2025-11-10,true
PP-5ZF7XVH6WN,PR-548,CAT-0016,2854.89,CRC,0.13,unidad,standard,,2025-11-10,2025-11-11,,,,available,2025-11-10,2025-11-10,true
PP-G0H46R10PB,PR-285,CAT-0017,2046.25,CRC,0.13,bandeja 12u,premium,,2025-11-10,2025-11-19,,,,available,2025-11-10,2025-11-10,true
PP-JUMGE4CEUM,PR-967,CAT-0018,2616.24,CRC,0.13,docena,standard,,2025-11-10,2025-11-28,,,,available,2025-11-10,2025-11-10,true
PP-ZV3X3U9FHV,PR-949,CAT-0019,1090.92,CRC,0.13,kg,segunda,,2025-11-10,2025-11-16,,,,available,2025-11-10,2025-11-10,true
PP-SALXVW7WXI,PR-967,CAT-0020,2858.07,CRC,0.13,bandeja 12u,segunda,,2025-11-10,2025-11-19,,,,available,2025-11-10,2025-11-10,true
PP-ER7HJIYGRO,PR-318,CAT-0021,440.04,CRC,0.13,bolsa 500g,segunda,,2025-11-10,2025-11-11,,,,available,2025-11-10,2025-11-10,true
PP-M6WE0ANGY3,PR-603,CAT-0022,1101.16,CRC,0.13,manojo,standard,,2025-11-10,2025-12-10,,,,available,2025-11-10,2025-11-10,true
PP-2P6JY8S69W,PR-285,CAT-0023,1476.57,CRC,0.13,kg,premium,,2025-11-10,2025-12-02,,,,available,2025-11-10,2025-11-10,true
PP-E15JSQMT7V,PR-920,CAT-0024,2819.53,CRC,0.13,bandeja 12u,segunda,,2025-11-10,2025-11-29,,,,available,2025-11-10,2025-11-10,true
PP-4FDPQGK5H9,PR-485,CAT-0025,1777.74,CRC,0.13,bolsa 500g,premium,,2025-11-10,2025-11-27,,,,available,2025-11-10,2025-11-10,true
PP-0HA060R017,PR-613,CAT-0026,1034.36,CRC,0.13,kg,standard,,2025-11-10,2025-11-21,,,,available,2025-11-10,2025-11-10,true
PP-L83WCXC2N0,PR-603,CAT-0027,2057.95,CRC,0.13,unidad,standard,,2025-11-10,2025-12-01,,,,available,2025-11-10,2025-11-10,true
PP-XRR87NH129,PR-726,CAT-0028,2233.75,CRC,0.13,bolsa 500g,standard,,2025-11-10,2025-11-26,,,,available,2025-11-10,2025-11-10,true
PP-VMRC8GVE3E,PR-572,CAT-0029,1126.51,CRC,0.13,docena,standard,,2025-11-10,2025-11-28,,,,available,2025-11-10,2025-11-10,true
PP-PC53HQH93Y,PR-112,CAT-0030,2567.01,CRC,0.13,bandeja 12u,standard,,2025-11-10,2025-11-27,,,,available,2025-11-10,2025-11-10,true
PP-JT9RD0WVQ7,PR-331,CAT-0031,2950.53,CRC,0.13,kg,standard,,2025-11-10,2025-11-21,,,,available,2025-11-10,2025-11-10,true
PP-TV6MJQ7CXZ,PR-285,CAT-0032,2592.78,CRC,0.13,manojo,standard,,2025-11-10,2025-11-25,,,,available,2025-11-10,2025-11-10,true
PP-ORRC6ZLND5,PR-285,CAT-0033,2860.52,CRC,0.13,bolsa 500g,segunda,,2025-11-10,2025-11-18,,,,available,2025-11-10,2025-11-10,true
PP-Q2Y3B9UZM3,PR-135,CAT-0034,2951.99,CRC,0.13,manojo,premium,,2025-11-10,2025-11-16,,,,available,2025-11-10,2025-11-10,true
PP-BLZA88H80B,PR-409,CAT-0035,2838.06,CRC,0.13,bandeja 12u,segunda,,2025-11-10,2025-11-26,,,,available,2025-11-10,2025-11-10,true
PP-0JW26M7IMQ,PR-949,CAT-0036,2520.80,CRC,0.13,manojo,premium,,2025-11-10,2025-12-01,,,,available,2025-11-10,2025-11-10,true
PP-UO3P233C1I,PR-318,CAT-0037,2656.10,CRC,0.13,bolsa 500g,premium,,2025-11-10,2025-11-27,,,,available,2025-11-10,2025-11-10,true
PP-QLQB0AG6FO,PR-892,CAT-0038,1070.54,CRC,0.13,docena,premium,,2025-11-10,2025-11-25,,,,available,2025-11-10,2025-11-10,true
PP-F11RT78HSL,PR-125,CAT-0039,1986.95,CRC,0.13,bolsa 500g,segunda,,2025-11-10,2025-11-24,,,,available,2025-11-10,2025-11-10,true
PP-IILZ1LQTCQ,PR-351,CAT-0040,2302.31,CRC,0.13,manojo,premium,,2025-11-10,2025-11-20,,,,available,2025-11-10,2025-11-10,true
PP-1V2EUK3OWI,PR-867,CAT-0041,3254.90,CRC,0.13,bandeja 12u,premium,,2025-11-10,2025-11-16,,,,available,2025-11-10,2025-11-10,true
PP-XC09VREE1O,PR-578,CAT-0042,4270.61,CRC,0.13,bolsa 500g,premium,,2025-11-10,2025-11-17,,,,available,2025-11-10,2025-11-10,true
PP-RW4IBU4P3I,PR-331,CAT-0043,2956.05,CRC,0.13,unidad,standard,,2025-11-10,2025-12-02,,,,available,2025-11-10,2025-11-10,true
PP-8F7K3D58NV,PR-490,CAT-0044,2470.39,CRC,0.13,bandeja 12u,standard,,2025-11-10,2025-12-05,,,,available,2025-11-10,2025-11-10,true
PP-2362T2NUS9,PR-548,CAT-0045,2735.02,CRC,0.13,bolsa 500g,premium,,2025-11-10,2025-11-18,,,,available,2025-11-10,2025-11-10,true
PP-0OWBGOH3U0,PR-892,CAT-0046,1083.64,CRC,0.13,kg,segunda,,2025-11-10,2025-11-20,,,,available,2025-11-10,2025-11-10,true
PP-Z94ATCGK05,PR-409,CAT-0047,1503.38,CRC,0.13,unidad,standard,,2025-11-10,2025-11-20,,,,available,2025-11-10,2025-11-10,true
PP-TIHTWMQG3L,PR-578,CAT-0048,2064.38,CRC,0.13,bolsa 500g,premium,,2025-11-10,2025-11-13,,,,available,2025-11-10,2025-11-10,true
PP-6AHLRJASH5,PR-125,CAT-0049,5375.82,CRC,0.13,bolsa 500g,standard,,2025-11-10,2025-11-21,,,,available,2025-11-10,2025-11-10,true
PP-C41MXUCIVR,PR-867,CAT-0050,2830.11,CRC,0.13,bolsa 500g,standard,,2025-11-10,2025-12-10,,,,available,2025-11-10,2025-11-10,true
PP-OY5F8E7CUH,PR-726,CAT-0051,2674.25,CRC,0.13,docena,premium,,2025-11-10,2025-11-19,,,,available,2025-11-10,2025-11-10,true
PP-E992PK8C0Z,PR-603,CAT-0052,1939.78,CRC,0.13,manojo,premium,,2025-11-10,2025-12-05,,,,available,2025-11-10,2025-11-10,true
PP-9XKWVYKOFP,PR-318,CAT-0053,1051.74,CRC,0.13,kg,premium,,2025-11-10,2025-11-24,,,,available,2025-11-10,2025-11-10,true
PP-C7HX34CQI9,PR-285,CAT-0054,2317.33,CRC,0.13,unidad,premium,,2025-11-10,2025-11-19,,,,available,2025-11-10,2025-11-10,true
PP-JVBE9RHYVI,PR-135,CAT-0055,1202.14,CRC,0.13,kg,standard,,2025-11-10,2025-11-20,,,,available,2025-11-10,2025-11-10,true
PP-35EJPGJ4PJ,PR-613,CAT-0056,2704.20,CRC,0.13,unidad,standard,,2025-11-10,2025-11-27,,,,available,2025-11-10,2025-11-10,true
PP-WZJSK5RBV3,PR-578,CAT-0057,2258.18,CRC,0.13,bandeja 12u,standard,,2025-11-10,2025-11-11,,,,available,2025-11-10,2025-11-10,true
PP-9WBXIZYST6,PR-123,CAT-0058,2113.97,CRC,0.13,manojo,premium,,2025-11-10,2025-11-19,,,,available,2025-11-10,2025-11-10,true
PP-25XRV7NZBT,PR-726,CAT-0059,5637.46,CRC,0.13,unidad,segunda,,2025-11-10,2025-12-07,,,,available,2025-11-10,2025-11-10,true
PP-1MSPQASRII,PR-726,CAT-0060,2053.76,CRC,0.13,manojo,segunda,,2025-11-10,2025-11-28,,,,available,2025-11-10,2025-11-10,true
PP-6QDLH4MCUM,PR-351,CAT-0061,2895.34,CRC,0.13,unidad,premium,,2025-11-10,2025-11-25,,,,available,2025-11-10,2025-11-10,true
PP-LY57IE5LPP,PR-996,CAT-0062,1818.89,CRC,0.13,bolsa 500g,premium,,2025-11-10,2025-12-05,,,,available,2025-11-10,2025-11-10,true
PP-3QYH6KQDZ4,PR-949,CAT-0063,1066.10,CRC,0.13,manojo,standard,,2025-11-10,2025-12-01,,,,available,2025-11-10,2025-11-10,true
PP-N67RI3ENEK,PR-125,CAT-0064,860.63,CRC,0.13,unidad,premium,,2025-11-10,2025-11-24,,,,available,2025-11-10,2025-11-10,true
PP-0O6GS4LQF0,PR-490,CAT-0065,1154.20,CRC,0.13,manojo,premium,,2025-11-10,2025-12-06,,,,available,2025-11-10,2025-11-10,true
PP-A12CVJJ84C,PR-485,CAT-0066,2686.28,CRC,0.13,manojo,premium,,2025-11-10,2025-11-30,,,,available,2025-11-10,2025-11-10,true
PP-OVOVGV8IKV,PR-578,CAT-0067,2419.96,CRC,0.13,kg,segunda,,2025-11-10,2025-12-10,,,,available,2025-11-10,2025-11-10,true
PP-SN168XO7DT,PR-485,CAT-0068,2610.96,CRC,0.13,kg,segunda,,2025-11-10,2025-11-25,,,,available,2025-11-10,2025-11-10,true
PP-1JP31Q1TC9,PR-548,CAT-0069,2408.99,CRC,0.13,bolsa 500g,premium,,2025-11-10,2025-12-01,,,,available,2025-11-10,2025-11-10,true
PP-1T5ZMXEKUA,PR-485,CAT-0070,2000.78,CRC,0.13,bandeja 12u,premium,,2025-11-10,2025-12-10,,,,available,2025-11-10,2025-11-10,true
PP-OM5P4O4VKS,PR-994,CAT-0071,2772.80,CRC,0.13,bolsa 500g,premium,,2025-11-10,2025-11-30,,,,available,2025-11-10,2025-11-10,true
PP-ZSVVBDH5GX,PR-318,CAT-0072,2447.33,CRC,0.13,bolsa 500g,premium,,2025-11-10,2025-11-26,,,,available,2025-11-10,2025-11-10,true
PP-FA575XL50U,PR-920,CAT-0073,985.40,CRC,0.13,manojo,premium,,2025-11-10,2025-11-29,,,,available,2025-11-10,2025-11-10,true
PP-ACOMIJ8KJZ,PR-613,CAT-0074,2639.31,CRC,0.13,bandeja 12u,standard,,2025-11-10,2025-11-16,,,,available,2025-11-10,2025-11-10,true
PP-RJZX3O6OGG,PR-994,CAT-0075,1002.12,CRC,0.13,bolsa 500g,segunda,,2025-11-10,2025-12-04,,,,available,2025-11-10,2025-11-10,true
PP-UDFDUK81I1,PR-572,CAT-0076,2095.27,CRC,0.13,docena,segunda,,2025-11-10,2025-11-24,,,,available,2025-11-10,2025-11-10,true
PP-61X9L5INZ0,PR-715,CAT-0077,2427.04,CRC,0.13,docena,segunda,,2025-11-10,2025-11-25,,,,available,2025-11-10,2025-11-10,true
PP-OUC21U3NXR,PR-318,CAT-0078,1912.99,CRC,0.13,bolsa 500g,standard,,2025-11-10,2025-11-25,,,,available,2025-11-10,2025-11-10,true
PP-FX3KZ5NQQW,PR-811,CAT-0079,1830.76,CRC,0.13,kg,premium,,2025-11-10,2025-11-22,,,,available,2025-11-10,2025-11-10,true
PP-66M6F4X4S7,PR-920,CAT-0080,2353.85,CRC,0.13,bolsa 500g,standard,,2025-11-10,2025-11-24,,,,available,2025-11-10,2025-11-10,true
PP-L3Q7UV2OIZ,PR-409,CAT-0081,944.80,CRC,0.13,kg,segunda,,2025-11-10,2025-12-02,,,,available,2025-11-10,2025-11-10,true
PP-0HQLYRDSKR,PR-996,CAT-0082,2698.71,CRC,0.13,bolsa 500g,standard,,2025-11-10,2025-12-05,,,,available,2025-11-10,2025-11-10,true
PP-ZVTTRTZJPT,PR-318,CAT-0083,2760.64,CRC,0.13,unidad,premium,,2025-11-10,2025-12-04,,,,available,2025-11-10,2025-11-10,true
PP-MLUX9C40QL,PR-996,CAT-0084,1144.89,CRC,0.13,manojo,segunda,,2025-11-10,2025-11-26,,,,available,2025-11-10,2025-11-10,true
PP-BNR5X6083K,PR-285,CAT-0085,1077.11,CRC,0.13,bandeja 12u,standard,,2025-11-10,2025-12-06,,,,available,2025-11-10,2025-11-10,true
PP-HN9UHAYG5O,PR-140,CAT-0086,2262.64,CRC,0.13,bandeja 12u,segunda,,2025-11-10,2025-11-22,,,,available,2025-11-10,2025-11-10,true
PP-0MRAEOPYYO,PR-892,CAT-0087,1711.24,CRC,0.13,kg,standard,,2025-11-10,2025-11-15,,,,available,2025-11-10,2025-11-10,true
PP-W7U8NQFMTB,PR-490,CAT-0088,2452.34,CRC,0.13,docena,segunda,,2025-11-10,2025-12-10,,,,available,2025-11-10,2025-11-10,true
PP-E1N846SGO3,PR-135,CAT-0089,2160.01,CRC,0.13,bandeja 12u,premium,,2025-11-10,2025-12-04,,,,available,2025-11-10,2025-11-10,true
PP-FI1SRNNTFI,PR-590,CAT-0090,1297.02,CRC,0.13,kg,segunda,,2025-11-10,2025-12-03,,,,available,2025-11-10,2025-11-10,true
PP-FLTYUHGUHU,PR-996,CAT-0091,1181.71,CRC,0.13,kg,segunda,,2025-11-10,2025-11-28,,,,available,2025-11-10,2025-11-10,true
PP-7J4YLP0GJ0,PR-331,CAT-0092,2040.96,CRC,0.13,bandeja 12u,premium,,2025-11-10,2025-11-20,,,,available,2025-11-10,2025-11-10,true
PP-P71CEDV60U,PR-603,CAT-0093,2795.70,CRC,0.13,manojo,premium,,2025-11-10,2025-11-21,,,,available,2025-11-10,2025-11-10,true
PP-VJX7LIOH5Y,PR-726,CAT-0094,2931.31,CRC,0.13,bolsa 500g,standard,,2025-11-10,2025-11-30,,,,available,2025-11-10,2025-11-10,true
PP-Q2EHYOPFJS,PR-578,CAT-0095,1394.07,CRC,0.13,bolsa 500g,standard,,2025-11-10,2025-12-03,,,,available,2025-11-10,2025-11-10,true
PP-0E8O49ROS0,PR-603,CAT-0096,1863.97,CRC,0.13,docena,standard,,2025-11-10,2025-11-12,,,,available,2025-11-10,2025-11-10,true
PP-VM60YF33X8,PR-967,CAT-0097,2432.92,CRC,0.13,bolsa 500g,standard,,2025-11-10,2025-11-17,,,,available,2025-11-10,2025-11-10,true
PP-7IGD0QMZUV,PR-967,CAT-0098,2007.60,CRC,0.13,docena,standard,,2025-11-10,2025-11-25,,,,available,2025-11-10,2025-11-10,true
PP-D6BIF1M9L0,PR-306,CAT-0099,1370.47,CRC,0.13,docena,premium,,2025-11-10,2025-12-10,,,,available,2025-11-10,2025-11-10,true
PP-020IDHI4TZ,PR-485,CAT-0100,1660.00,CRC,0.13,docena,standard,,2025-11-10,2025-11-19,,,,available,2025-11-10,2025-11-10,true
PP-E3DVM8DCIA,PR-996,CAT-0101,2902.66,CRC,0.13,kg,premium,,2025-11-10,2025-11-22,,,,available,2025-11-10,2025-11-10,true
PP-923Y7HQZM4,PR-490,CAT-0102,2166.75,CRC,0.13,unidad,premium,,2025-11-10,2025-11-13,,,,available,2025-11-10,2025-11-10,true
PP-TNZYJT4K4K,PR-112,CAT-0103,1296.79,CRC,0.13,unidad,segunda,,2025-11-10,2025-11-14,,,,available,2025-11-10,2025-11-10,true
PP-AMU8Z0GTGS,PR-285,CAT-0046,2661.08,CRC,0.13,manojo,premium,,2025-11-10,2025-11-21,,,,available,2025-11-10,2025-11-10,true
PP-R9Y1CA7UEZ,PR-285,CAT-0048,2514.62,CRC,0.13,kg,standard,,2025-11-10,2025-11-27,,,,available,2025-11-10,2025-11-10,true
PP-Y85LZC8COZ,PR-994,CAT-0083,2761.96,CRC,0.13,bolsa 500g,standard,,2025-11-10,2025-11-30,,,,available,2025-11-10,2025-11-10,true
PP-XCC5VFML9G,PR-994,CAT-0031,2946.50,CRC,0.13,kg,segunda,,2025-11-10,2025-11-20,,,,available,2025-11-10,2025-11-10,true
PP-0IX3SBX2KX,PR-967,CAT-0012,1248.81,CRC,0.13,docena,segunda,,2025-11-10,2025-11-15,,,,available,2025-11-10,2025-11-10,true
PP-TV5RFOBK5L,PR-967,CAT-0060,2362.12,CRC,0.13,manojo,segunda,,2025-11-10,2025-11-30,,,,available,2025-11-10,2025-11-10,true
PP-NVZKYFEQI5,PR-967,CAT-0060,1477.72,CRC,0.13,manojo,standard,,2025-11-10,2025-11-28,,,,available,2025-11-10,2025-11-10,true
PP-F1D35LVXFB,PR-811,CAT-0059,4931.52,CRC,0.13,bolsa 500g,segunda,,2025-11-10,2025-12-10,,,,available,2025-11-10,2025-11-10,true
PP-CGW7TJO6YH,PR-811,CAT-0038,1467.27,CRC,0.13,manojo,segunda,,2025-11-10,2025-11-29,,,,available,2025-11-10,2025-11-10,true
PP-5PVGKGS907,PR-548,CAT-0005,1282.76,CRC,0.13,kg,segunda,,2025-11-10,2025-11-23,,,,available,2025-11-10,2025-11-10,true
PP-W2VDB81HZ9,PR-548,CAT-0086,1732.27,CRC,0.13,kg,premium,,2025-11-10,2025-12-06,,,,available,2025-11-10,2025-11-10,true
PP-MPA9BPIQCF,PR-548,CAT-0056,2541.86,CRC,0.13,kg,premium,,2025-11-10,2025-11-18,,,,available,2025-11-10,2025-11-10,true
PP-5DZV7OWV5C,PR-306,CAT-0034,1004.12,CRC,0.13,docena,standard,,2025-11-10,2025-11-23,,,,available,2025-11-10,2025-11-10,true
PP-VRW9OGRNTQ,PR-306,CAT-0053,2278.48,CRC,0.13,bolsa 500g,segunda,,2025-11-10,2025-11-23,,,,available,2025-11-10,2025-11-10,true
PP-CVSKWIQ0AT,PR-306,CAT-0031,2568.30,CRC,0.13,bolsa 500g,standard,,2025-11-10,2025-12-03,,,,available,2025-11-10,2025-11-10,true
PP-IRF2V6AN7Y,PR-112,CAT-0012,1716.75,CRC,0.13,bolsa 500g,segunda,,2025-11-10,2025-12-04,,,,available,2025-11-10,2025-11-10,true
PP-PKV770JWXJ,PR-112,CAT-0052,1011.85,CRC,0.13,bolsa 500g,segunda,,2025-11-10,2025-11-24,,,,available,2025-11-10,2025-11-10,true
PP-OUBNSKBR6K,PR-613,CAT-0013,1273.56,CRC,0.13,docena,premium,,2025-11-10,2025-11-30,,,,available,2025-11-10,2025-11-10,true
PP-ALPHINRXFA,PR-613,CAT-0020,2515.13,CRC,0.13,manojo,premium,,2025-11-10,2025-11-24,,,,available,2025-11-10,2025-11-10,true
PP-SDSEVPRHJ4,PR-572,CAT-0011,1020.28,CRC,0.13,manojo,standard,,2025-11-10,2025-11-20,,,,available,2025-11-10,2025-11-10,true
PP-XU56FANYJ9,PR-572,CAT-0079,926.01,CRC,0.13,kg,premium,,2025-11-10,2025-11-24,,,,available,2025-11-10,2025-11-10,true
PP-4AZHCNM8OZ,PR-318,CAT-0033,1799.53,CRC,0.13,bolsa 500g,segunda,,2025-11-10,2025-11-18,,,,available,2025-11-10,2025-11-10,true
PP-BY0ML2ZRVK,PR-318,CAT-0080,2692.95,CRC,0.13,unidad,segunda,,2025-11-10,2025-11-28,,,,available,2025-11-10,2025-11-10,true
PP-XYKP1PMSMI,PR-318,CAT-0065,1588.38,CRC,0.13,docena,segunda,,2025-11-10,2025-12-09,,,,available,2025-11-10,2025-11-10,true
PP-0MVQMF9QI5,PR-578,CAT-0033,1787.54,CRC,0.13,bandeja 12u,segunda,,2025-11-10,2025-11-25,,,,available,2025-11-10,2025-11-10,true
PP-LCV0AAP434,PR-578,CAT-0067,1211.49,CRC,0.13,bolsa 500g,premium,,2025-11-10,2025-12-09,,,,available,2025-11-10,2025-11-10,true
PP-VQ1AQVD8D8,PR-578,CAT-0083,1883.45,CRC,0.13,bolsa 500g,segunda,,2025-11-10,2025-12-03,,,,available,2025-11-10,2025-11-10,true
PP-0Z27OKB8F4,PR-140,CAT-0060,2947.52,CRC,0.13,bolsa 500g,segunda,,2025-11-10,2025-12-09,,,,available,2025-11-10,2025-11-10,true
PP-9I6BS4Q7ZY,PR-140,CAT-0011,2504.71,CRC,0.13,kg,premium,,2025-11-10,2025-11-20,,,,available,2025-11-10,2025-11-10,true
PP-3SN43ECAZ8,PR-140,CAT-0090,1211.14,CRC,0.13,manojo,standard,,2025-11-10,2025-11-14,,,,available,2025-11-10,2025-11-10,true
PP-3HIK2V9I5N,PR-409,CAT-0022,1064.01,CRC,0.13,manojo,premium,,2025-11-10,2025-12-08,,,,available,2025-11-10,2025-11-10,true
PP-K1JKKZXE2E,PR-409,CAT-0060,1202.78,CRC,0.13,unidad,standard,,2025-11-10,2025-11-22,,,,available,2025-11-10,2025-11-10,true
PP-HC3U3NR2YT,PR-409,CAT-0055,1697.47,CRC,0.13,manojo,segunda,,2025-11-10,2025-11-13,,,,available,2025-11-10,2025-11-10,true
PP-ZVORQJMED0,PR-409,CAT-0092,1291.71,CRC,0.13,unidad,segunda,,2025-11-10,2025-11-16,,,,available,2025-11-10,2025-11-10,true
PP-FJWZ9X49B8,PR-715,CAT-0040,1921.07,CRC,0.13,docena,premium,,2025-11-10,2025-12-09,,,,available,2025-11-10,2025-11-10,true
PP-5O7KTKINIU,PR-715,CAT-0063,2780.16,CRC,0.13,kg,premium,,2025-11-10,2025-11-28,,,,available,2025-11-10,2025-11-10,true
PP-XRSIIK4Q7Y,PR-715,CAT-0011,1325.69,CRC,0.13,bolsa 500g,standard,,2025-11-10,2025-11-20,,,,available,2025-11-10,2025-11-10,true
PP-F2H51XU3JP,PR-351,CAT-0018,1718.80,CRC,0.13,bolsa 500g,premium,,2025-11-10,2025-11-23,,,,available,2025-11-10,2025-11-10,true
PP-ONJT2UL508,PR-351,CAT-0070,2012.73,CRC,0.13,bolsa 500g,standard,,2025-11-10,2025-11-12,,,,available,2025-11-10,2025-11-10,true
PP-W2GNQ3ZLYA,PR-351,CAT-0083,2803.25,CRC,0.13,bolsa 500g,premium,,2025-11-10,2025-11-17,,,,available,2025-11-10,2025-11-10,true
PP-BO9JAKH99J,PR-351,CAT-0089,1555.76,CRC,0.13,unidad,premium,,2025-11-10,2025-12-09,,,,available,2025-11-10,2025-11-10,true
PP-UI2YN64TVL,PR-949,CAT-0080,2149.98,CRC,0.13,unidad,standard,,2025-11-10,2025-11-13,,,,available,2025-11-10,2025-11-10,true
PP-CXC3WP45MJ,PR-949,CAT-0022,1381.78,CRC,0.13,manojo,standard,,2025-11-10,2025-12-03,,,,available,2025-11-10,2025-11-10,true
PP-PVH0SCKPN1,PR-603,CAT-0096,2515.77,CRC,0.13,unidad,standard,,2025-11-10,2025-11-23,,,,available,2025-11-10,2025-11-10,true
PP-9R4ZK9THQR,PR-603,CAT-0070,1274.12,CRC,0.13,kg,segunda,,2025-11-10,2025-11-23,,,,available,2025-11-10,2025-11-10,true
PP-LT5J64T41B,PR-892,CAT-0086,1119.58,CRC,0.13,bolsa 500g,premium,,2025-11-10,2025-11-29,,,,available,2025-11-10,2025-11-10,true
PP-TRBIJUCVS4,PR-892,CAT-0020,1172.35,CRC,0.13,bolsa 500g,premium,,2025-11-10,2025-12-07,,,,available,2025-11-10,2025-11-10,true
PP-K626ZP1RT3,PR-892,CAT-0084,1413.07,CRC,0.13,unidad,segunda,,2025-11-10,2025-12-08,,,,available,2025-11-10,2025-11-10,true
PP-XB6C9TANS1,PR-485,CAT-0090,978.15,CRC,0.13,docena,segunda,,2025-11-10,2025-12-01,,,,available,2025-11-10,2025-11-10,true
PP-3EBZWG1S58,PR-485,CAT-0011,1949.95,CRC,0.13,docena,standard,,2025-11-10,2025-11-21,,,,available,2025-11-10,2025-11-10,true
PP-6IR7NZW8HX,PR-726,CAT-0002,1576.32,CRC,0.13,kg,premium,,2025-11-10,2025-12-03,,,,available,2025-11-10,2025-11-10,true
PP-SQUHRCSYPP,PR-726,CAT-0094,2636.55,CRC,0.13,unidad,premium,,2025-11-10,2025-11-18,,,,available,2025-11-10,2025-11-10,true
PP-Y01PFLH08L,PR-726,CAT-0080,2422.41,CRC,0.13,bandeja 12u,segunda,,2025-11-10,2025-11-27,,,,available,2025-11-10,2025-11-10,true
PP-DQZUNIF31W,PR-125,CAT-0009,1803.23,CRC,0.13,kg,standard,,2025-11-10,2025-11-24,,,,available,2025-11-10,2025-11-10,true
PP-6T1CF2KJLV,PR-125,CAT-0061,2227.30,CRC,0.13,kg,standard,,2025-11-10,2025-11-18,,,,available,2025-11-10,2025-11-10,true
PP-9WG3GFSN88,PR-125,CAT-0091,2643.39,CRC,0.13,bolsa 500g,premium,,2025-11-10,2025-11-26,,,,available,2025-11-10,2025-11-10,true
PP-WG1K38545W,PR-125,CAT-0101,2799.12,CRC,0.13,bolsa 500g,segunda,,2025-11-10,2025-11-21,,,,available,2025-11-10,2025-11-10,true
PP-0NEVRLJZND,PR-331,CAT-0071,1766.53,CRC,0.13,manojo,segunda,,2025-11-10,2025-11-15,,,,available,2025-11-10,2025-11-10,true
PP-IEQL9HQYI9,PR-331,CAT-0078,1945.57,CRC,0.13,kg,standard,,2025-11-10,2025-12-09,,,,available,2025-11-10,2025-11-10,true
PP-4CC6U2ZFTE,PR-135,CAT-0082,2264.24,CRC,0.13,docena,segunda,,2025-11-10,2025-11-15,,,,available,2025-11-10,2025-11-10,true
PP-L7MZ5KV3W9,PR-135,CAT-0095,2591.38,CRC,0.13,bandeja 12u,standard,,2025-11-10,2025-11-15,,,,available,2025-11-10,2025-11-10,true
PP-DNG5OL4HD9,PR-135,CAT-0064,2789.69,CRC,0.13,bolsa 500g,standard,,2025-11-10,2025-11-14,,,,available,2025-11-10,2025-11-10,true
